Facility Name,"1/1/2020
 Adult Dogs
 In Shelter","1/1/2020
 Adult Dogs
 In Foster Care","2020
 Adult Dogs
 Stray","2020
 Adult Dogs
 Owner Relinquished","2020
 Adult Dogs Transfer from another Colorado Organization","2020
 Adult Dogs
 Transfer from Out of State","2020
 Adult Dogs
 Other Intake","2020
 Adult Dogs
 Adoption","2020
 Adult Dogs
 Returned to Owner (RTO)","2020
 Adult Dogs
 Transfer to another Colorado Organization","2020
 Adult Dogs
 Transfer to Out of State","2020
 Adult Dogs
 Other Transfer","1/1/2020
 Juvenile Dogs
 In Shelter","1/1/2020
 Juvenile Dogs
 In Foster Care","2020
 Juvenile Dogs
 Stray","2020
 Juvenile Dogs
 Owner Relinquished","2020
 Juvenile Dogs
 Transfer from another Colorado Organization","2020
 Juvenile Dogs
 Transfer from Out of State","2020
 Juvenile Dogs
 Other Intake","2020
 Juvenile Dogs
 Adoption","2020
 Juvenile Dogs
 Returned to Owner (RTO)","2020
 Juvenile Dogs
 Transfer to another Colorado Organization","2020
 Juvenile Dogs
 Transfer to Out of State","2020
 Juvenile Dogs
 Other Transfer","1/1/2020
 Adult Cats
 In Shelter","1/1/2020
 Adult Cats
 In Foster Care","2020
 Adult Cats
 Stray","2020
 Adult Cats
 Owner Relinquished","2020
 Adult Cats
 Transfer from another Colorado Organization","2020
 Adult Cats
 Transfer from Out of State","2020
 Adult Cats
 Other Intake","2020
 Adult Cats
 Adoption","2020
 Adult Cats
 Returned to Owner (RTO)","2020
 Adult Cats
 Transfer to another Colorado Organization","2020
 Adult Cats
 Transfer to Out of State","2020
 Adult Cats
 Other Transfer","1/1/2020
 Juvenile Cats
 In Shelter","1/1/2020
 Juvenile Cats
 In Foster Care","2020
 Juvenile Cats
 Stray","2020
 Juvenile Cats
 Owner Relinquished","2020
 Juvenile Cats
 Transfer from another Colorado Organization","2020
 Juvenile Cats
 Transfer from Out of State","2020
 Juvenile Cats
 Other Intake","2020
 Juvenile Cats
 Adoption","2020
 Juvenile Cats
 Returned to Owner (RTO)","2020
 Juvenile Cats
 Transfer to another Colorado Organization","2020
 Juvenile Cats
 Transfer to Out of State","2020
 Juvenile Cats
 Other Transfer",
Rocky Mountain French Bulldog Rescue,0.00,7.00,0.00,17.00,3.00,6.00,0.00,26.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,2.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Rocky Mountain Great Dane Rescue,0,19,0,45,6,1,0,53,0,1,0,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Rocky Mountain House Rabbit Rescue,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Rocky Mountain Lab Rescue,0.00,13.00,0.00,1.00,13.00,83.00,9.00,105.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,22.00,0.00,23.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Rocky Mountain Puppy Rescue,0.00,5.00,0.00,0.00,0.00,75.00,0.00,75.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,589.00,0.00,587.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,39.00,0.00,39.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,128.00,0.00,128.00,0.00,0.00,0.00,0.00,
Rocky Mountain Scottie Rescue,0.00,4.00,0.00,10.00,0.00,0.00,0.00,14.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Rocky Mountain WildHeart,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,
Rocky MTN German Shorthaired Pointer Rescue,7.00,0.00,0.00,0.00,0.00,1.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Roice-Hurst Humane Society,23.00,0.00,0.00,92.00,56.00,31.00,0.00,165.00,0.00,12.00,0.00,0.00,4.00,0.00,0.00,35.00,14.00,29.00,0.00,77.00,0.00,0.00,0.00,0.00,75.00,0.00,17.00,139.00,12.00,0.00,0.00,147.00,1.00,6.00,0.00,0.00,2.00,0.00,120.00,242.00,26.00,0.00,0.00,350.00,4.00,0.00,0.00,1.00,
Rottie Aid,0.00,2.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Routt County Humane Society,7.00,2.00,107.00,23.00,57.00,13.00,6.00,94.00,99.00,12.00,0.00,0.00,2.00,0.00,7.00,2.00,24.00,26.00,0.00,42.00,5.00,0.00,0.00,0.00,20.00,1.00,105.00,27.00,37.00,0.00,3.00,144.00,33.00,4.00,0.00,0.00,1.00,0.00,98.00,8.00,23.00,0.00,0.00,122.00,0.00,0.00,0.00,0.00,
Rugby's Rescue House,1.00,0.00,13.00,0.00,0.00,0.00,0.00,11.00,0.00,2.00,0.00,0.00,4.00,0.00,40.00,0.00,0.00,0.00,0.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Running Dog Ranch,16.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Safe Harbor Lab Rescue,0.00,13.00,0.00,57.00,17.00,120.00,0.00,182.00,3.00,3.00,1.00,0.00,0.00,0.00,0.00,3.00,0.00,27.00,0.00,29.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Safe Place for Pets,0.00,2.00,0.00,8.00,0.00,0.00,1.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,2.00,0.00,33.00,0.00,0.00,2.00,37.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
San Luis Valley Animal Welfare Society,46.00,0.00,18.00,42.00,22.00,22.00,5.00,97.00,14.00,0.00,0.00,0.00,8.00,0.00,14.00,60.00,0.00,30.00,2.00,101.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
San Nicola Dog Rescue,28.00,0.00,0.00,5.00,0.00,37.00,0.00,45.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Save the Giants,0.00,18.00,0.00,4.00,0.00,1.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Saving Dobermankind Animal Rescue,0.00,6.00,0.00,12.00,12.00,19.00,0.00,44.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"Scroungy Dogs and Pretty Pups Rescue, Inc.",0.00,3.00,0.00,6.00,0.00,182.00,0.00,176.00,0.00,2.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,89.00,0.00,80.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.00,0.00,25.00,0.00,0.00,0.00,0.00,
Second Chance Animal Rescue Foundation,0.00,1.00,0.00,10.00,10.00,3.00,0.00,21.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,29.00,4.00,8.00,0.00,26.00,0.00,18.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,21.00,0.00,0.00,0.00,2.00,0.00,19.00,0.00,0.00,
Second Chance Humane Society,15.00,0.00,67.00,44.00,100.00,15.00,0.00,165.00,40.00,0.00,0.00,0.00,8.00,0.00,41.00,11.00,36.00,22.00,0.00,95.00,0.00,0.00,0.00,0.00,17.00,0.00,60.00,41.00,6.00,7.00,0.00,96.00,3.00,3.00,0.00,0.00,17.00,0.00,59.00,8.00,21.00,0.00,0.00,87.00,0.00,5.00,0.00,0.00,
"Second Chance Jack Animal Rescue, Inc.",0.00,2.00,0.00,1.00,1.00,4.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,3.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Shiba Scout Rescue dba Colorado Shiba Inu Rescue,0.00,10.00,2.00,13.00,10.00,0.00,0.00,24.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Sloppy Kisses Animal Rescue,0.00,15.00,0.00,6.00,5.00,209.00,0.00,223.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,6.00,11.00,141.00,23.00,164.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,5.00,1.00,36.00,0.00,39.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,18.00,6.00,130.00,11.00,158.00,0.00,0.00,0.00,0.00,
Small Senior Paws Retirement Village,32.00,0.00,0.00,3.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Snow Buddy Sled Dog Adventures,44.00,0.00,0.00,0.00,0.00,8.00,0.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Snow Capped Shepherd Rescue,0.00,9.00,0.00,3.00,2.00,32.00,0.00,39.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,0.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Someone2Love,0.00,0.00,0.00,8.00,0.00,23.00,0.00,21.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,66.00,0.00,60.00,0.00,0.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,6.00,0.00,0.00,0.00,0.00,
Soul Dog Rescue,61.00,7.00,638.00,0.00,0.00,0.00,0.00,522.00,0.00,45.00,0.00,0.00,41.00,59.00,1146.00,0.00,0.00,0.00,0.00,829.00,0.00,0.00,0.00,0.00,102.00,0.00,0.00,0.00,0.00,815.00,0.00,315.00,0.00,0.00,1.00,0.00,53.00,1.00,0.00,0.00,0.00,596.00,0.00,251.00,0.00,0.00,0.00,0.00,
Southern Colorado Spay and Neuter Association,13.00,0.00,22.00,21.00,0.00,0.00,0.00,37.00,1.00,11.00,0.00,0.00,0.00,0.00,5.00,3.00,0.00,0.00,0.00,8.00,0.00,0.00,0.00,0.00,108.00,0.00,33.00,32.00,3.00,0.00,4.00,123.00,4.00,0.00,0.00,0.00,0.00,0.00,35.00,30.00,6.00,0.00,0.00,68.00,0.00,0.00,0.00,0.00,
"Southern Mutts Rescue, Inc.",0.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,0.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Springer Spaniel Rescue Inc,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Springfield,12.00,0.00,11.00,1.00,0.00,0.00,0.00,0.00,10.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
ST East & ST North,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Sterling Ranch Specialty Shelter,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Stray and Orphaned Animal Rescue,16.00,2.00,0.00,2.00,0.00,16.00,0.00,16.00,0.00,1.00,0.00,0.00,6.00,0.00,0.00,6.00,0.00,0.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Summit County Animal Control,8.00,0.00,75.00,40.00,53.00,178.00,75.00,296.00,106.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,66.00,3.00,69.00,0.00,0.00,0.00,0.00,25.00,2.00,22.00,33.00,118.00,0.00,12.00,187.00,16.00,1.00,0.00,0.00,2.00,3.00,5.00,1.00,97.00,0.00,0.00,106.00,0.00,0.00,0.00,0.00,
Summit Dog Rescue,0.00,7.00,0.00,8.00,0.00,29.00,0.00,39.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,9.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.00,0.00,15.00,0.00,0.00,0.00,0.00,
Sunshine Canyon Dog Rescue,0.00,2.00,0.00,0.00,0.00,26.00,0.00,22.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,47.00,0.00,44.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,0.00,6.00,0.00,0.00,0.00,0.00,
Surface Creek Animal Shelter,6.00,0.00,85.00,48.00,1.00,0.00,0.00,69.00,58.00,3.00,0.00,0.00,0.00,0.00,16.00,16.00,0.00,0.00,0.00,24.00,0.00,0.00,0.00,0.00,10.00,0.00,57.00,30.00,0.00,0.00,0.00,69.00,7.00,1.00,0.00,0.00,28.00,0.00,129.00,18.00,0.00,0.00,0.00,151.00,1.00,5.00,0.00,0.00,
Tammy Swanson,16.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Taysia Blue Rescue,0.00,1.00,0.00,22.00,47.00,15.00,0.00,75.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,2.00,3.00,2.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
TCRAS: Teller County Regional Animal Shelter,15.00,1.00,235.00,68.00,9.00,100.00,11.00,217.00,198.00,2.00,0.00,0.00,1.00,5.00,17.00,13.00,10.00,72.00,2.00,103.00,7.00,0.00,0.00,0.00,5.00,3.00,36.00,55.00,8.00,50.00,5.00,147.00,10.00,1.00,1.00,0.00,3.00,10.00,37.00,38.00,31.00,76.00,2.00,182.00,1.00,0.00,0.00,0.00,
Team Leo Animal Rescue,0.00,20.00,0.00,0.00,4.00,5.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,
Telluride Humane Society,0.00,0.00,5.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,2.00,3.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,2.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,
